Tweet	French	Wolof	English	Arabic	Emoji	Sereer	Pulaar	Other	
@XXXX Yeah je vois Moi je suis pour Kouli et Diallo mais pour ce qui est des boys Ousseynou et pape abdo… https://t.co/iY0tMP6vsj	2		1						boys in French
@XXXX Mais weeeeeeessh?😭😭😭😭😭😭je t’ai fait quoi encore	2				1			1	
FODEN  PABLO PAEZ NICO mes jeunes preferés	2								
@XXXX Legui rouss sakh defatomako putain 😕😕	1	2			1				putain
'Spaces sur l''entrepreneuriat bi neexnama trop...  But; nombreux sont ici; qui veulent des conseils sur des business à faire en partant de 0f'	2	1	1						“but…”
@XXXX Eupna def		2							
@XXXX Dina gnow dh fall boul décourage rk	1	2							decourage
@XXXX Billay nakkk		2							billay not billahi
@XXXX Moytoull sa boppou !		2							
Warna bayi dem khew nak  Chaque je me sens très mal après 🥺 Dama fagñaral trop	1	2			1				trop
@XXXX Torodo[o								1	
'Une nouvelle ère pour le Bénin et l''histoire de l''art africain: https://t.co/kGt26ohxT4 #AfriquedelOuest'	2								
'L''Afrique aux africains https://t.co/H4PPaJjEpc'	2								
@XXXX 💀💀 pourtant ça va dh	2	1			1				dh
Gossi Guertodee https://t.co/RjXBRrQgzs									
@XXXX @XXXX Dinala setsi nioussla		2							
https://t.co/0iVOoYtRat									
😂😂😂😂😂😂 https://t.co/KLeVkADlhA					2				
@XXXX Do bayiii vitalait		2							
OMG what a pass for curry🥰🔥			2		1				
@XXXX Khamall lingayy wakhh rekk		2							
Ils sont trop imprévisibles benn copain dane ko door ba mattë lekh bi https://t.co/YXQfVgXAqm	1	2							biling switch
Lui c’est un pedophile 🤬🤬 https://t.co/b5RnxYCZHV	2								
@XXXX @XXXX Roussna green sinon saga nala		2							sinon
Diarra niang damako nam suba nako wo		2							
Xalei bou bakh bi lepp loumey nianal sama bopp rek magui lakoy nianal te lou done lou guene si Ioe 🥺❤️ yalla sambe… https://t.co/AntwjLtbvo		2			1				Yalla
Qualif Mondial 2022 – Zone Afrique : tous les résultats de la soirée ! https://t.co/mGyyuGtOlP	2								
Heure bouma  diakhle gua tew meune sonn si nit yeuk nit aussi tjr au pti soins avec moi ❤️🥺 meusso beug Sama beut x… https://t.co/rgZUr9bxcg	1	2			1				heure
C’est l’anniversaire de la meilleure d’entre nous 🥺❤️ ma Ninja ❤️ sama Adama paris ❤️ une fille vraiment es4ordinek… https://t.co/tZrzwSX05Q	2	1			1				
#dubnation			2						
'@XXXX Moi même je le connais pas mais ça m''a fait trop mal'	2								
@XXXX Loutakh nga reww		2							
@XXXX Amine niou bokk lepp In Shaa Allah🙏🏾❤️ Merci 🤩❤️		2		1	1				merci not = jerejef, Amine not arabic
@XXXX Kon yao yaggo Twitter d😁😂😂		2			1				Twitter
@XXXX Jamais mane samayy mame nioo santhie dkr sama maman Diop la sante	1	2							
Faut toujours écouter les deux versions d’une histoire.	2								
Finalement l’âme est matière !? https://t.co/0DtZPcMZmV	2								
Qualif Mondial 2022 : la Serbie se qualifie et envoie le Portugal en barrages https://t.co/EDLu67Peqi	2								
@XXXX Amine way 🥺 contane na dh mon ami ❤️	1	2			1				contane na (mon ami vs. sama xarit)
@XXXX J’aime bien cette réflexion fav ❤️	2		1		1				
Wiggins 🥰 🥰 🔥🔥	1	1	1		2				
@XXXX @XXXX Merci ❤️❤️	2				2				
@XXXX @XXXX @XXXX Nio ?? Fann		2							
@XXXX HBD 🎉🎊 yalna milliards yi téw😂		2	1		1				HBD
@XXXX Niom senn ekip rekk laniou xamm moatkh		2							ekip
Mane mom bayinaa i caaaaaan’t 😭😭😭beuss bou sokhnaa bator  commencer encaisser défaite gueine defma signe 🚶🏽‍♂️🚶🏽‍♂️ https://t.co/83SwzTXhXE	1	2	1		1				I can’t, top and foc “mane mom”, defma signe
@XXXX Ok wa commission bi dinako lidjeunti		2	1						commission
@XXXX @XXXX Il faut le faire comprendre alors🤣🤣🤣	2				1				
@XXXX 🥲 pourtant pas dh	2	1			1				deh
@XXXX @XXXX @XXXX Ki dafa rew		2							
@XXXX @XXXX 😂😂😂yangui merrr dh		2			1				merrr= mere?
@XXXX 𝐅𝐫𝐚𝐢𝐜𝐡𝐞 🥰	2				1				
@XXXX @XXXX @XXXX @XXXX @XXXX Suis d’accord	2								
@XXXX Wa li nexul ❤️		2			1				
@XXXX Okay lolou mettiwoul 😂		2	1		1				
I love u ❤🔥🔥💪🏼 https://t.co/IvcJJFklLz			2		2				
Monnaie électronique : Hausse de 50;60% des transactions transfrontalières en 2020 https://t.co/ftJvB9ocpp #senegal #kebetu #team221	2								
Monnaie électronique dans l’Uemoa : La Valeur de transactions estimées à 20451;66 milliards de FCFA à fin décembre… https://t.co/11n3QYg1ak	2								
@XXXX @XXXX @XXXX 😅😅 Ioe danga xamadi 😂		2			1				
@XXXX Maguiiiii ya wakh li		2							
'Je suis enrhumé depuis 6 semaines environs. J''arrive pas à dormir.  🤧'	2				1				
@XXXX @XXXX Tu me veux quoi encore	2								
❤️❤️ https://t.co/H64oX3krNa					2				
@XXXX @XXXX Koyy charme yaw khana koo partagel règle 📏 ngay weur😂😂	1	2							
MEN ARE TRASH!			2						
J’ai ri; I Can sleep now	1		2						
Tayy la done nékh Nak Serigne mountakha ah serigne mbaye sy mansour né kepp kouy dieufé ndigeul bayil ndiangoum nassarane si oh😌🤧		2						1	
@XXXX @XXXX @XXXX @XXXX @XXXX J’avoue mais ça reste une grande équipe en Afrique	2								
Ah donc RDT était titulaire pour les espagnols ? Tiey Lucho; tiey football.	2	1							
'@XXXX Ah c anormal ce qu''il a subit'	2								
'Tadic c''est quelqu''un.'	2								
